Species ID,Common Names
DEVA-1065,"Little Brown Bat, Little Brown Myotis, Little Brown Myotis"
DEVA-1066,Fringed Myotis
DEVA-1067,"Long-Legged Myotis, Long-Legged Myotis"
DEVA-1068,"Yuma Myotis, Yuma Myotis"
DEVA-1069,None
DEVA-1070,Pipistrelles
DEVA-1071,"Western Pipistrelle, Canyon Bat"
DEVA-1072,Virginia Opossum
DEVA-1073,Pygmy Rabbit
DEVA-1074,Black-Tailed Jackrabbit
DEVA-1075,Western Desert Jackrabbit
DEVA-1076,Cottontails
DEVA-1077,Desert Cottontail
DEVA-1078,None
DEVA-1079,None
DEVA-1080,"Mountain Cottontail, Nuttall's Cottontail"
DEVA-1081,None
DEVA-1082,None
DEVA-1083,None
DEVA-1084,None
DEVA-1085,"Ass, Burro, Donkey, Feral Burro, Wild Ass"
DEVA-1086,"Burchell's Zebra, Plains Zebra"
DEVA-1087,"Feral Horse, Horse"
DEVA-1088,None
DEVA-1089,None
DEVA-1090,None
DEVA-1091,Hominoids
DEVA-1092,"Human, Humans, Man"
DEVA-1093,None
DEVA-1094,"Meadow Mice, Meadow Voles"
DEVA-1095,"Amargosa Vole, California Vole"
DEVA-1096,None
DEVA-1097,None
DEVA-1098,Packrats
DEVA-1099,White-Throated Woodrat
DEVA-1100,Bushy-Tailed Woodrat
DEVA-1101,Eastern Woodrat
DEVA-1102,Dusky-Footed Woodrat
DEVA-1103,None
DEVA-1104,Desert Woodrat
DEVA-1105,Desert Woodrat
DEVA-1106,Southern Plains Woodrat
DEVA-1107,"Common Muskrat, Muskbeaver, Muskrat"
DEVA-1108,Grasshopper Mice
DEVA-1109,Northern Grasshopper Mouse
DEVA-1110,Southern Grasshopper Mouse
DEVA-1111,Southern Grasshopper Mouse
DEVA-1112,Rice Rats
DEVA-1113,"Deer Mice, White-Footed Mice"
DEVA-1114,"Brush Deermouse, Brush Mouse"
DEVA-1115,"Canyon Deermouse, Canyon Mouse"
DEVA-1116,Canyon Mouse
DEVA-1117,"Cactus Deermouse, Cactus Mouse"
DEVA-1118,Cactus Mouse
DEVA-1119,"Cotton Deermouse, Cotton Mouse"
DEVA-1120,"White-Footed Deermouse, White-Footed Mouse"
DEVA-1121,None
DEVA-1122,Deer Mouse
DEVA-1123,Sonoran Deer Mouse
DEVA-1124,"Pi_On Deermouse, Pi_On Mouse, Pinyon Mouse"
DEVA-1125,Pinyon Mouse
DEVA-1126,"American Harvest Mice, Harvest Mice"
DEVA-1127,Western Harvest Mouse
DEVA-1128,Western Harvest Mouse
DEVA-1129,Cotton Rats
DEVA-1130,Western Jumping Mouse
DEVA-1131,"Common Porcupine, Porcupine"
DEVA-1132,Porcupine
DEVA-1133,"Smooth-Toothed Pocket Gophers, Western Pocket Gophers"
DEVA-1134,Botta's Pocket Gopher
DEVA-1135,None
DEVA-1136,None
DEVA-1137,Southern Pocket Gopher
DEVA-1138,None
DEVA-1139,None
DEVA-1140,"Coarse-Haired Pocket Mice, Hispid Pocket Mice"
DEVA-1141,Bailey's Pocket Mouse
DEVA-1142,California Pocket Mouse
DEVA-1143,San Diego Pocket Mouse
DEVA-1144,Long-Tailed Pocket Mouse
DEVA-1145,None
DEVA-1146,Desert Pocket Mouse
DEVA-1147,None
DEVA-1148,Kangaroo Rats
DEVA-1149,Agile Kangaroo Rat
DEVA-1150,Desert Kangaroo Rat
DEVA-1151,Desert Kangaroo Rat
DEVA-1152,Merriam's Kangaroo Rat
DEVA-1153,None
DEVA-1154,Chisel-Toothed Kangaroo Rat
DEVA-1155,Western Chisel-Toothed Kangaroo Rat
DEVA-1156,Ord's Kangaroo Rat
DEVA-1157,Panamint Kangaroo Rat
DEVA-1158,None
DEVA-1159,Panamint Kangaroo Rat
DEVA-1160,None
DEVA-1161,Painted Spiny Pocket Mouse
DEVA-1162,Kangaroo Mice
DEVA-1163,Pale Kangaroo Mouse
DEVA-1164,"Pocket Mice, Silky Pocket Mice"
DEVA-1165,Silky Pocket Mouse
DEVA-1166,Hispid Pocket Mouse
DEVA-1167,San Joaquin Pocket Mouse
DEVA-1168,Little Pocket Mouse
DEVA-1169,Nelson's Pocket Mouse
DEVA-1170,Great Basin Pocket Mouse
DEVA-1171,Great Basin Pocket Mouse
DEVA-1172,None
DEVA-1173,None
DEVA-1174,"House Mice, Old World Mice"
DEVA-1175,House Mouse
DEVA-1176,Old World Rats
DEVA-1177,"Brown Rat, Norway Rat"
DEVA-1178,"Black Rat, House Rat, Roof Rat"
DEVA-1179,None
DEVA-1180,Antelope Squirrels
DEVA-1181,White-Tailed Antelope Squirrel
DEVA-1182,"Golden-Mantled Ground Squirrel, Golden-Mantled Squirrel, Sierra Nevada Golden-Mantled Ground Squirrel"
DEVA-1183,None
DEVA-1184,"Beechy Ground Squirrel, California Ground Squirrel"
DEVA-1185,Roundtail Ground Squirrel
DEVA-1186,None
DEVA-1187,None
DEVA-1188,None
DEVA-1189,Marmots
DEVA-1190,None
DEVA-1191,Tree Squirrels
DEVA-1192,"Ground Squirrels, Old World Ground Squirrels"
DEVA-1193,California Ground Squirrel
DEVA-1194,Golden-Mantled Ground Squirrel
DEVA-1195,Mohave Ground Squirrel
DEVA-1196,Round-Tailed Ground Squirrel
DEVA-1197,None
DEVA-1198,Chipmunks
DEVA-1199,Panamint Chipmunk
DEVA-1200,Eastern Chipmunk
DEVA-1201,Uinta Chipmunk
DEVA-1202,"Mole Shrew, Northern Short-Tailed Shrew, Short-Tailed Shrew"
DEVA-1203,None
DEVA-1204,Desert Shrews
DEVA-1205,"Crawford's Gray Shrew, Desert Shrew, Gray Shrew"
DEVA-1206,Crawford's Desert Shrew
DEVA-1207,"Cinereus Shrew, Common Shrew, Masked Shrew"
DEVA-1208,"Ornate Shrew, Suisun Shrew"
DEVA-1209,"Great Basin Dwarf Shrew, Inyo Shrew"
DEVA-1210,"Eastern Mole, Topos"
DEVA-1211,Broad-Footed Mole
DEVA-1212,"Golden Warbler, Northern Yellow Warbler, Summer Yellowbird, Yellow Warbler"
DEVA-1213,None
DEVA-1214,Hermit Warbler
DEVA-1215,Bird Hawks
DEVA-1216,Cooper's Hawk
DEVA-1217,Sharp-Shinned Hawk
DEVA-1218,Golden Eagle
DEVA-1219,Zone-Tailed Hawk
DEVA-1220,Red-Tailed Hawk
DEVA-1221,Rough-Legged Hawk
DEVA-1222,Red-Shouldered Hawk
DEVA-1223,None
DEVA-1224,Broad-Winged Hawk
DEVA-1225,Ferruginous Hawk
DEVA-1226,Swainson's Hawk
DEVA-1227,Northern Harrier
DEVA-1228,White-Tailed Kite
DEVA-1229,Bald Eagle
DEVA-1230,Mississippi Kite
DEVA-1231,Harris's Hawk
DEVA-1232,Turkey Vulture
DEVA-1233,Black Vulture
DEVA-1234,California Condor
DEVA-1235,None
DEVA-1236,Osprey
DEVA-1237,Wood Duck
DEVA-1238,Dabbling Ducks
DEVA-1239,"Northern Pintail, Pintail"
DEVA-1240,"American Widgeon, American Wigeon"
DEVA-1241,"Northern Shoveler, Shoveller, Spoonbill Duck"
DEVA-1242,"Green-Winged Teal, Eurasian Teal"
DEVA-1243,Cinnamon Teal
DEVA-1244,Blue-Winged Teal
DEVA-1245,Eurasian Wigeon
DEVA-1246,Mallard
DEVA-1247,Garganey
DEVA-1248,Gadwall
DEVA-1249,"Greater White-Fronted Goose, White-Front Goose"
DEVA-1250,Diving Ducks
DEVA-1251,"Lesser Scaup, Lesser Scaup Duck"
DEVA-1252,Redhead
DEVA-1253,Ring-Necked Duck
DEVA-1254,Greater Scaup
DEVA-1255,Canvasback
DEVA-1256,Canada Goose
DEVA-1257,None
DEVA-1258,Cackling Goose
DEVA-1259,Bufflehead
DEVA-1260,Common Goldeneye
DEVA-1261,Barrow's Goldeneye
DEVA-1262,Snow Goose
DEVA-1263,Ross' Goose
DEVA-1264,Clangula Hyemalis
DEVA-1265,Trumpeter Swan
DEVA-1266,Tundra Swan
DEVA-1267,Fulvous Whistling Duck
DEVA-1268,Harlequin Duck
DEVA-1269,Hooded Merganser
DEVA-1270,Black Scoter
DEVA-1271,White-Winged Scoter
DEVA-1272,Surf Scoter
DEVA-1273,Common Merganser
DEVA-1274,Red-Breasted Merganser
DEVA-1275,American Scoter
DEVA-1276,Ruddy Duck
DEVA-1277,Calliope Hummingbird
DEVA-1278,White-Throated Swift
DEVA-1279,Chimney Swift
DEVA-1280,Vaux's Swift
DEVA-1281,Black Swift
DEVA-1282,None
DEVA-1283,Black-Chinned Hummingbird
DEVA-1284,Ruby-Throated Humming Bird
DEVA-1285,Anna's Hummingbird
DEVA-1286,Costa's Hummingbird
DEVA-1287,Rufous Hummingbirds
DEVA-1288,Broad-Tailed Hummingbird
DEVA-1289,Rufous Hummingbird
DEVA-1290,Allen's Hummingbird
DEVA-1291,Nighthawks
DEVA-1292,Lesser Nighthawk
DEVA-1293,Common Nighthawk
DEVA-1294,Common Poorwill
DEVA-1295,None
DEVA-1296,Buff-Breasted Sandpiper
DEVA-1297,California Murre
DEVA-1298,Snowy Plover
DEVA-1299,Mountain Plover
DEVA-1300,Snowy Plover
DEVA-1301,Semipalmated Plover
DEVA-1302,Killdeer
DEVA-1303,Black-Bellied Plover
DEVA-1304,Black Tern
DEVA-1305,Caspian Tern
DEVA-1306,"Gulls, Ivory Gulls, Kittiwakes, Ross' Gulls, Sabine's Gulls"
DEVA-1307,Herring Gull
DEVA-1308,California Gull
DEVA-1309,Ring-Billed Gull
DEVA-1310,Glaucous-Winged Gull
DEVA-1311,Heermann's Gull
DEVA-1312,Bonaparte's Gull
DEVA-1313,Thayer's Gull
DEVA-1314,Franklin's Gull
DEVA-1315,Forster's Tern
DEVA-1316,Common Tern
DEVA-1317,Royal Tern
DEVA-1318,Least Tern
DEVA-1319,Sabine's Gull
DEVA-1320,Black-Necked Stilt
DEVA-1321,American Avocet
DEVA-1322,Spotted Sandpiper
DEVA-1323,Ruddy Turnstone
DEVA-1324,Upland Sandpiper
DEVA-1325,Stints
DEVA-1326,Sanderling
DEVA-1327,Dunlin
DEVA-1328,Baird's Sandpiper
DEVA-1329,Red Knot
DEVA-1330,Stilt Sandpiper
DEVA-1331,Western Sandpiper
DEVA-1332,Pectoral Sandpiper
DEVA-1333,Least Sandpiper
DEVA-1334,Semipalmated Sandpiper
DEVA-1335,Wilson's Snipe
DEVA-1336,Wandering Tattler
DEVA-1337,Dowitchers
DEVA-1338,Short-Billed Dowitcher
DEVA-1339,Long-Billed Dowitcher
DEVA-1340,Marbled Godwit
DEVA-1341,Long-Billed Curlew
DEVA-1342,"Hudsonian Curlew, Jack Curlew"
DEVA-1343,Long-Billed Curlew
DEVA-1344,Whimbrel
DEVA-1345,Red Phalarope
DEVA-1346,Red-Necked Phalarope
DEVA-1347,Wilson's Phalarope
DEVA-1348,None
DEVA-1349,Lesser Yellowlegs
DEVA-1350,Greater Yellowlegs
DEVA-1351,Willet
DEVA-1352,Solitary Sandpiper
DEVA-1353,Wood Stork
DEVA-1354,Band-Tailed Pigeon
DEVA-1355,Rock Pigeon
DEVA-1356,Inca Dove
DEVA-1357,Common Ground Dove
DEVA-1358,Ruddy Ground-Dove
DEVA-1359,Spotted Dove
DEVA-1360,Eurasian Collared-Dove
DEVA-1361,Oriental Turtle-Dove
DEVA-1362,Ringed Turtle-Dove
DEVA-1363,African Collared-Dove
DEVA-1364,White-Winged Dove
DEVA-1365,Mourning Dove
DEVA-1366,Belted Kingfisher
DEVA-1367,Yellow-Billed Cuckoo
DEVA-1368,Groove-Billed Ani
DEVA-1369,"Greater Roadrunner, Roadrunner"
DEVA-1370,Merlin
DEVA-1371,None
DEVA-1372,Prairie Falcon
DEVA-1373,Peregrine Falcon
DEVA-1374,Gyrfalcon
DEVA-1375,American Kestrel
DEVA-1376,California Quail
DEVA-1377,Gambel's Quail
DEVA-1378,Mountain Quail
DEVA-1379,None
DEVA-1380,"Chukar, Chukar Partridge, Rock Partridge"
DEVA-1381,"Greater Sage Grouse, Greater Sage-Grouse, Sage Grouse"
DEVA-1382,Sooty Grouse
DEVA-1383,None
DEVA-1384,Common Loon
DEVA-1385,Pacific Loon
DEVA-1386,Red-Throated Loon
DEVA-1387,None
DEVA-1388,None
DEVA-1389,None
DEVA-1390,Sandhill Crane
DEVA-1391,Coots
DEVA-1392,American Coot
DEVA-1393,Common Gallinule
DEVA-1394,Black Rail
DEVA-1395,Purple Gallinule
DEVA-1396,Sora
DEVA-1397,Virginia Rail
DEVA-1398,House Finch
DEVA-1399,Purple Finch
DEVA-1400,Mccown's Longspur
DEVA-1401,Bushtit
DEVA-1402,None
DEVA-1403,Horned Lark
DEVA-1404,None
DEVA-1405,None
DEVA-1406,Cedar Waxwing
DEVA-1407,Bohemian Waxwing
DEVA-1408,Lapland Longspur
DEVA-1409,Chestnut-Collared Longspur
DEVA-1410,Smith's Longspur
DEVA-1411,Snow Bunting
DEVA-1412,Northern Cardinal
DEVA-1413,Pyrrhuloxia
DEVA-1414,Lazuli Bunting
DEVA-1415,Blue Grosbeak
DEVA-1416,Painted Bunting
DEVA-1417,Indigo Bunting
DEVA-1418,Varied Bunting
DEVA-1419,Rose-Breasted Grosbeak
DEVA-1420,Black-Headed Grosbeak
DEVA-1421,Hepatic Tanager
DEVA-1422,None
DEVA-1423,Western Tanager
DEVA-1424,Scarlet Tanager
DEVA-1425,Summer Tanager
DEVA-1426,Dickcissel
DEVA-1427,Brown Creeper
DEVA-1428,American Dipper
DEVA-1429,Scrub Jays
DEVA-1430,Western Scrub-Jay
DEVA-1431,Woodhouse's Scrub-Jay
DEVA-1432,Crows
DEVA-1433,American Crow
DEVA-1434,American Crow
DEVA-1435,Common Raven
DEVA-1436,Blue Jay
DEVA-1437,Steller's Jay
DEVA-1438,None
DEVA-1439,Pinyon Jay
DEVA-1440,Clark's Nutcracker
DEVA-1441,Black-Billed Magpie
DEVA-1442,Yellow-Billed Magpie
DEVA-1443,None
DEVA-1444,Rufous-Crowned Sparrow
DEVA-1445,Le Conte's Sparrow
DEVA-1446,"Nelson's Sharp-Tailed Sparrow,_Nelson's Sparrow, Nelson's Sparrow"
DEVA-1447,Grasshopper Sparrow
DEVA-1448,None
DEVA-1449,Black-Throated Sparrow
DEVA-1450,Bell's Sparrow
DEVA-1451,Sagebrush Sparrow
DEVA-1452,Lark Bunting
DEVA-1453,Lark Sparrow
DEVA-1454,Dark-Eyed Junco
DEVA-1455,None
DEVA-1456,None
DEVA-1457,Oregon Junco
DEVA-1458,Swamp Sparrow
DEVA-1459,Lincoln's Sparrow
DEVA-1460,Song Sparrow
DEVA-1461,Savannah Sparrow
DEVA-1462,Fox Sparrow
DEVA-1463,None
DEVA-1464,None
DEVA-1465,None
DEVA-1466,None
DEVA-1467,None
DEVA-1468,Abert's Towhee
DEVA-1469,Green-Tailed Towhee
DEVA-1470,None
DEVA-1471,None
DEVA-1472,Spotted Towhee
DEVA-1473,None
DEVA-1474,None
DEVA-1475,Vesper Sparrow
DEVA-1476,American Tree Sparrow
DEVA-1477,Black-Chinned Sparrow
DEVA-1478,Brewer's Sparrow
DEVA-1479,None
DEVA-1480,Clay-Colored Sparrow
DEVA-1481,Chipping Sparrow
DEVA-1482,Field Sparrow
DEVA-1483,None
DEVA-1484,White-Throated Sparrow
DEVA-1485,Golden-Crowned Sparrow
DEVA-1486,White-Crowned Sparrow
DEVA-1487,Harris' Sparrow
DEVA-1488,Common Redpoll
DEVA-1489,Evening Grosbeak
DEVA-1490,Cassin's Finch
DEVA-1491,"Black Rosy Finch, Black Rosy-Finch"
DEVA-1492,Gray-Crowned Rosy-Finch
DEVA-1493,Red Crossbill
DEVA-1494,None
DEVA-1495,Pine Grosbeak
DEVA-1496,Lawrence's Goldfinch
DEVA-1497,Pine Siskin
DEVA-1498,Lesser Goldfinch
DEVA-1499,None
DEVA-1500,American Goldfinch
DEVA-1501,Barn Swallow
DEVA-1502,Cliff Swallow
DEVA-1503,Purple Martin
DEVA-1504,None
DEVA-1505,Bank Swallow
DEVA-1506,Rough-Winged Swallow
DEVA-1507,Southern Rough-Winged Swallow
DEVA-1508,"Northern Rough-Winged Swallow, Rough-Winged Swallow"
DEVA-1509,Tree Swallow
DEVA-1510,Violet-Green Swallow
DEVA-1511,"Redwinged Blackbird, Red-Winged Blackbird"
DEVA-1512,Tricolored Blackbird
DEVA-1513,Bobolink
DEVA-1514,Rusty Blackbird
DEVA-1515,Brewer's Blackbird
DEVA-1516,Bullock's Oriole
DEVA-1517,Hooded Oriole
DEVA-1518,Bullock's Oriole
DEVA-1519,Scott's Oriole
DEVA-1520,Streak-Backed Oriole
DEVA-1521,Orchard Oriole
DEVA-1522,Cowbirds
DEVA-1523,Bronzed Cowbird
DEVA-1524,Brown-Headed Cowbird
DEVA-1525,Great-Tailed Grackle
DEVA-1526,Common Grackle
DEVA-1527,Western Meadowlark
DEVA-1528,Yellow-Headed Blackbird
DEVA-1529,Northern Shrike
DEVA-1530,Loggerhead Shrike
DEVA-1531,Gray Catbird
DEVA-1532,None
DEVA-1533,Mockingbirds
DEVA-1534,Northern Mockingbird
DEVA-1535,Sage Thrasher
DEVA-1536,Bendire's Thrasher
DEVA-1537,Crissal Thrasher
DEVA-1538,Curve-Bill Thrasher
DEVA-1539,"Le Conte's Thrasher, Leconte's Thrasher"
DEVA-1540,Long-Billed Thrasher
DEVA-1541,Brown Thrasher
DEVA-1542,Pipits
DEVA-1543,Red-Throated Pipit
DEVA-1544,"American Pipit, Water Pipit, Buff-Bellied Pipit"
DEVA-1545,Sprague's Pipit
DEVA-1546,Juniper Titmouse
DEVA-1547,None
DEVA-1548,Mountain Chickadee
DEVA-1549,Canada Warbler
DEVA-1550,Wilson's Warbler
DEVA-1551,Kentucky Warbler
DEVA-1552,Macgillivray's Warbler
DEVA-1553,Common Yellowthroat
DEVA-1554,Worm-Eating Warbler
DEVA-1555,Yellow-Breasted Chat
DEVA-1556,Black-And-White Warbler
DEVA-1557,Painted Redstart
DEVA-1558,Connecticut Warbler
DEVA-1559,Mourning Warbler
DEVA-1560,Orange-Crowned Warbler
DEVA-1561,Lucy's Warbler
DEVA-1562,Tennessee Warbler
DEVA-1563,Nashville Warbler
DEVA-1564,Louisiana Waterthrush
DEVA-1565,Northern Waterthrush
DEVA-1566,Northern Parula
DEVA-1567,Prothonotary Warbler
DEVA-1568,Ovenbird
DEVA-1569,None
DEVA-1570,Northern Parula
DEVA-1571,Black-Throated Blue Warbler
DEVA-1572,Bay-Breasted Warbler
DEVA-1573,Hooded Warbler
DEVA-1574,Yellow-Rumped Warbler
DEVA-1575,Prairie Warbler
DEVA-1576,Yellow-Throated Warbler
DEVA-1577,Blackburnian Warbler
DEVA-1578,Grace's Warbler
DEVA-1579,Magnolia Warbler
DEVA-1580,Black-Throated Gray Warbler
DEVA-1581,Palm Warbler
DEVA-1582,Chestnut-Sided Warbler
DEVA-1583,Yellow Warbler
DEVA-1584,Pine Warbler
DEVA-1585,American Redstart
DEVA-1586,Blackpoll Warbler
DEVA-1587,Cape May Warbler
DEVA-1588,Wauer 1962 (123336)
DEVA-1589,Black-Throated Green Warbler
DEVA-1590,None
DEVA-1591,Golden-Winged Warbler
DEVA-1592,Virginia's Warbler
DEVA-1593,House Sparrow
DEVA-1594,None
DEVA-1595,Olive Warbler
DEVA-1596,Blue-Gray Gnatcatcher
DEVA-1597,California Gnatcatcher
DEVA-1598,Black-Tailed Gnatcatcher
DEVA-1599,Tropical Gnatcatcher
DEVA-1600,Phainopeplas
DEVA-1601,Phainopepla
DEVA-1602,Ruby-Crowned Kinglet
DEVA-1603,Golden-Crowned Kinglet
DEVA-1604,None
DEVA-1605,Verdin
DEVA-1606,Red-Breasted Nuthatch
DEVA-1607,White-Breasted Nuthatch
DEVA-1608,None
DEVA-1609,Pygmy Nuthatch
DEVA-1610,"European Starling, Starling"
DEVA-1611,None
DEVA-1612,Cactus Wren
DEVA-1613,Canyon Wren
DEVA-1614,"Long-Billed Marsh Wren, Marsh Wren"
DEVA-1615,Sedge Wren
DEVA-1616,Rock Wren
DEVA-1617,Bewick's Wren
DEVA-1618,None
DEVA-1619,House Wren
DEVA-1620,None
DEVA-1621,Winter Wren
DEVA-1622,Pacific Wren
DEVA-1623,Winter Wren
DEVA-1624,Hermit Thrush
DEVA-1625,Gray-Cheeked Thrush
DEVA-1626,Swainson's Thrush
DEVA-1627,Wood Thrush
DEVA-1628,Varied Thrush
DEVA-1629,"Townsend's Solitaire, Townsend's Soltaire"
DEVA-1630,Mountain Bluebird
DEVA-1631,Western Bluebird
DEVA-1632,None
DEVA-1633,None
DEVA-1634,"American Robin, Robin"
DEVA-1635,Rufous-Backed Robin
DEVA-1636,None
DEVA-1637,None
DEVA-1638,Olive-Sided Flycatcher
DEVA-1639,Western Wood Pewee
DEVA-1640,Empidonax Flycatchers
DEVA-1641,Pacific-Slope Flycatcher
DEVA-1642,Hammond's Flycatcher
DEVA-1643,Least Flycatcher
DEVA-1644,Dusky Flycatcher
DEVA-1645,Willow Flycatcher
DEVA-1646,Gray Flycatcher
DEVA-1647,Ash-Throated Flycatcher
DEVA-1648,Dusky-Capped Flycatcher
DEVA-1649,Brown-Crested Flycatcher
DEVA-1650,Sulphur-Bellied Flycatcher
DEVA-1651,Vermilion Flycatcher
DEVA-1652,Black Phoebe
DEVA-1653,Eastern Phoebe
DEVA-1654,Say's Phoebe
DEVA-1655,Kingbirds
DEVA-1656,Scissor-Tailed Flycatcher
DEVA-1657,Tropical Kingbird
DEVA-1658,Eastern Kingbird
DEVA-1659,Western Kingbird
DEVA-1660,Cassin's Kingbird
DEVA-1661,Bell's Vireo
DEVA-1662,Cassin's Vireo
DEVA-1663,Yellow-Throated Vireo
DEVA-1664,Warbling Vireo
DEVA-1665,White-Eyed Vireo
DEVA-1666,Hutton's Vireo
DEVA-1667,Red-Eyed Vireo
DEVA-1668,Philadelphia Vireo
DEVA-1669,Plumbeous Vireo
DEVA-1670,Blue-Headed Vireo
DEVA-1671,None
DEVA-1672,None
DEVA-1673,Gray Vireo
DEVA-1674,None
DEVA-1675,"Great Egret, Common Egret"
DEVA-1676,Great Blue Heron
DEVA-1677,American Bittern
DEVA-1678,Cattle Egret
DEVA-1679,"Green-Backed Heron, Striated Heron"
DEVA-1680,Green Heron
DEVA-1681,Little Blue Heron
DEVA-1682,Snowy Egret
DEVA-1683,Tricolored Heron
DEVA-1684,Least Bittern
DEVA-1685,None
DEVA-1686,Black-Crowned Night Heron
DEVA-1687,None
DEVA-1688,American White Pelican
DEVA-1689,Brown Pelican
DEVA-1690,White-Faced Ibis
DEVA-1691,American Flamingo
DEVA-1692,"Black Woodcock, Logcock, Pileated Woodpecker, Woodcock"
DEVA-1693,Northern Flicker
DEVA-1694,None
DEVA-1695,None
DEVA-1696,Red-Headed Woodpecker
DEVA-1697,Acorn Woodpecker
DEVA-1698,None
DEVA-1699,Lewis' Woodpecker
DEVA-1700,Gila Woodpecker
DEVA-1701,White-Headed Woodpecker
DEVA-1702,Nuttall's Woodpecker
DEVA-1703,Downy Woodpecker
DEVA-1704,Ladder-Backed Woodpecker
DEVA-1705,Hairy Woodpecker
DEVA-1706,Red-Naped Sapsucker
DEVA-1707,Red-Breasted Sapsucker
DEVA-1708,Williamson's Sapsucker
DEVA-1709,Yellow-Bellied Sapsucker
DEVA-1710,None
DEVA-1711,Clark's Grebe
DEVA-1712,Western Grebe
DEVA-1713,Horned Grebe
DEVA-1714,Red-Necked Grebe
DEVA-1715,Eared Grebe
DEVA-1716,Pied-Billed Grebe
DEVA-1717,Yellow-Tailed Black Cockatoo
DEVA-1718,Flammulated Owl
DEVA-1719,"Northern Saw-Whet Owl, Saw-Whet Owl"
DEVA-1720,Short-Eared Owl
DEVA-1721,Long-Eared Owl
DEVA-1722,Burrowing Owl
DEVA-1723,None
DEVA-1724,Snowy Owl
DEVA-1725,Great Horned Owl
DEVA-1726,Saw-Whet Owl
DEVA-1727,"Northern Pygmy-Owl, Pygmy Owl"
DEVA-1728,Eastern Screech-Owl
DEVA-1729,None
DEVA-1730,Western Screech-Owl
DEVA-1731,Snowy Owl
DEVA-1732,None
DEVA-1733,Northern Spotted Owl
DEVA-1734,American Barn Owl
DEVA-1735,None
DEVA-1736,Barn Owl
DEVA-1737,Magnificent Frigatebird
DEVA-1738,Double-Crested Cormorant
DEVA-1739,None
DEVA-1740,None
DEVA-1741,Brandt's Cormorant
DEVA-1742,Brown Bobby
DEVA-1743,Northern Alligator Lizard
DEVA-1744,Southern Alligator Lizard
DEVA-1745,Panamint Alligator Lizard
DEVA-1746,Alligator Lizards
DEVA-1747,None
DEVA-1748,None
DEVA-1749,None
DEVA-1750,None
DEVA-1751,None
DEVA-1752,None
DEVA-1753,None
DEVA-1754,Rubber Boa
DEVA-1755,None
DEVA-1756,Rosy Boa
DEVA-1757,Glossy Snake
DEVA-1758,None
DEVA-1759,Western Shovel-Nosed Snake
DEVA-1760,None
DEVA-1761,Coachwhip
DEVA-1762,Striped Whipsnake
DEVA-1763,Ring-Necked Snake
DEVA-1764,Desert Nightsnake
DEVA-1765,"Kingsnakes, Milk Snakes"
DEVA-1766,None
DEVA-1767,California Kingsnake
DEVA-1768,California Mountain Kingsnake
DEVA-1769,Striped Racer
DEVA-1770,Spotted Leaf-Nosed Snake
DEVA-1771,"Bullsnakes, Gopher Snakes, Pine Snakes, Pinesnakes"
DEVA-1772,Gopher Snake
DEVA-1773,Long-Nosed Snake
DEVA-1774,Western Patch-Nosed Snake
DEVA-1775,Western Groundsnake
DEVA-1776,SmithS Black-Headed Snake
DEVA-1777,Terrestrial Gartersnake
DEVA-1778,Two-Striped Garter Snake
DEVA-1779,California Lyresnake
DEVA-1780,Banded Geckos
DEVA-1781,Western Banded Gecko
DEVA-1782,"Mediterranean Gecko, Mediterranean Gekko, Mediterranean House Gecko"
DEVA-1783,Gila Monster
DEVA-1784,Banded Gila Monster
DEVA-1785,Zebra-Tailed Lizards
DEVA-1786,Zebra-Tailed Lizard
DEVA-1787,Great Basin Collared Lizard
DEVA-1788,None
DEVA-1789,Desert Iguanas
DEVA-1790,Desert Iguana
DEVA-1791,Leopard Lizard
DEVA-1792,Long-Nosed Leopard Lizard
DEVA-1793,Horned Lizards
DEVA-1794,Coast Horned Lizard
DEVA-1795,Texas Horned Lizard
DEVA-1796,Coast Horned Lizard
DEVA-1797,Desert Horned Lizard
DEVA-1798,Common Chuckwalla
DEVA-1799,Spiny Lizards
DEVA-1800,Clark's Spiny Lizard
DEVA-1801,Common Sagebrush Lizard
DEVA-1802,Western Fence Lizard
DEVA-1803,"Eastern Fence Lizard, Fence Lizard, Plateau Lizard, Prairie Lizard"
DEVA-1804,Yellow-Backed Spiny Lizard
DEVA-1805,Colorado Desert Fringe-Toed Lizard
DEVA-1806,Mojave Fringe-Toed Lizard
DEVA-1807,Long-Tailed Brush Lizard
DEVA-1808,"Ornate Tree Lizard, Tree Lizard"
DEVA-1809,Side-Blotched Lizards
DEVA-1810,Common Side-Blotched Lizard
DEVA-1811,Western Threadsnake
DEVA-1812,Gilbert's Skink
DEVA-1813,Western Skink
DEVA-1814,Tiger Whiptail
DEVA-1815,"Racerunners, Whiptails"
DEVA-1816,Rattlesnakes
DEVA-1817,"Western Diamondback Rattlesnake, Western Diamond-Backed Rattlesnake"
DEVA-1818,Sidewinder
DEVA-1819,Speckled Rattlesnake
DEVA-1820,Western Rattlesnake
DEVA-1821,Mohave Rattlesnake
DEVA-1822,Tiger Rattlesnake
DEVA-1823,Night Lizards
DEVA-1824,Desert Night Lizard
DEVA-1825,Common Snapping Turtle
DEVA-1826,"Eastern Painted Turtle, Painted Turtle"
DEVA-1827,"Pacific Pond Turtle, Western Pond Turtle"
DEVA-1828,Chicken Turtle
