Species ID,Common Names
CHIS-1183,Ring-Necked Pheasent
CHIS-1184,Common Loon
CHIS-1185,Pacific Loon
CHIS-1186,Red-Throated Loon
CHIS-1187,American Coot
CHIS-1188,Sora
CHIS-1189,Virginia Rail
CHIS-1190,Bushtit
CHIS-1191,Horned Lark
CHIS-1192,Cedar Waxwing
CHIS-1193,Lapland Longspur
CHIS-1194,Mccown's Longspur
CHIS-1195,Chestnut-Collared Longspur
CHIS-1196,Pyrrhuloxia
CHIS-1197,Blue Grosbeak
CHIS-1198,Lazuli Bunting
CHIS-1199,Indigo Bunting
CHIS-1200,Rose-Breasted Grosbeak
CHIS-1201,Black-Headed Grosbeak
CHIS-1202,Western Tanager
CHIS-1203,Scarlet Tanager
CHIS-1204,Summer Tanager
CHIS-1205,Dickcissel
CHIS-1206,Brown Creeper
CHIS-1207,American Dipper
CHIS-1208,Island Scrub Jay
CHIS-1209,American Crow
CHIS-1210,Common Raven
CHIS-1211,Clark's Nutcracker
CHIS-1212,Yellow-Billed Magpie
CHIS-1213,Rufous-Crowned Sparrow
CHIS-1214,Grasshopper Sparrow
CHIS-1215,Sage Sparrow
CHIS-1216,Black-Throated Sparrow
CHIS-1217,Lark Bunting
CHIS-1218,Lark Sparrow
CHIS-1219,Dark-Eyed Junco
CHIS-1220,Swamp Sparrow
CHIS-1221,Lincoln's Sparrow
CHIS-1222,Song Sparrow
CHIS-1223,Savannah Sparrow
CHIS-1224,Fox Sparrow
CHIS-1225,Green-Tailed Towhee
CHIS-1226,Spotted Towhee
CHIS-1227,Vesper Sparrow
CHIS-1228,American Tree Sparrow
CHIS-1229,Black-Chinned Sparrow
CHIS-1230,Brewer's Sparrow
CHIS-1231,Clay-Colored Sparrow
CHIS-1232,Chipping Sparrow
CHIS-1233,White-Throated Sparrow
CHIS-1234,Golden-Crowned Sparrow
CHIS-1235,White-Crowned Sparrow
CHIS-1236,Harris' Sparrow
CHIS-1237,Lawrence's Goldfinch
CHIS-1238,Pine Siskin
CHIS-1239,Lesser Goldfinch
CHIS-1240,American Goldfinch
CHIS-1241,House Finch
CHIS-1242,Purple Finch
CHIS-1243,Red Crossbill
CHIS-1244,Barn Swallow
CHIS-1245,Cliff Swallow
CHIS-1246,Purple Martin
CHIS-1247,Bank Swallow
CHIS-1248,Northern Rough-Winged Swallow
CHIS-1249,Tree Swallow
CHIS-1250,Violet-Green Swallow
CHIS-1251,Red-Winged Blackbird
CHIS-1252,Tricolored Blackbird
CHIS-1253,Bobolink
CHIS-1254,Rusty Blackbird
CHIS-1255,Brewer's Blackbird
CHIS-1256,Bullock's Oriole
CHIS-1257,Hooded Oriole
CHIS-1258,Baltimore Oriole
CHIS-1259,Scott's Oriole
CHIS-1260,Brown-Headed Cowbird
CHIS-1261,Western Meadowlark
CHIS-1262,Yellow-Headed Blackbird
CHIS-1263,Loggerhead Shrike
CHIS-1264,Gray Catbird
CHIS-1265,Northern Mockingbird
CHIS-1266,Sage Thrasher
CHIS-1267,Bendire's Thrasher
CHIS-1268,Brown Thrasher
CHIS-1269,Red-Throated Pipit
CHIS-1270,American Pipit
CHIS-1271,Black-Throated Blue Warbler
CHIS-1272,Bay-Breasted Warbler
CHIS-1273,Yellow-Rumped Warbler
CHIS-1274,Prairie Warbler
CHIS-1275,Yellow-Throated Warbler
CHIS-1276,Blackburnian Warbler
CHIS-1277,Grace's Warbler
CHIS-1278,Magnolia Warbler
CHIS-1279,Black-Throated Gray Warbler
CHIS-1280,Hermit Warbler
CHIS-1281,Palm Warbler
CHIS-1282,Chestnut-Sided Warbler
CHIS-1283,Yellow Warbler
CHIS-1284,Blackpoll Warbler
CHIS-1285,Cape May Warbler
CHIS-1286,Townsend's Warbler
CHIS-1287,Black-Throated Green Warbler
CHIS-1288,Common Yellowthroat
CHIS-1289,Yellow-Breasted Chat
CHIS-1290,Black-And-White Warbler
CHIS-1291,Painted Redstart
CHIS-1292,Kentucky Warbler
CHIS-1293,Mourning Warbler
CHIS-1294,Macgillivray's Warbler
CHIS-1295,Northern Parula
CHIS-1296,Prothonotary Warbler
CHIS-1297,Ovenbird
CHIS-1298,Northern Waterthrush
CHIS-1299,American Redstart
CHIS-1300,Orange-Crowned Warbler
CHIS-1301,Lucy's Warbler
CHIS-1302,Tennessee Warbler
CHIS-1303,Nashville Warbler
CHIS-1304,Virginia's Warbler
CHIS-1305,Canada Warbler
CHIS-1306,Hooded Warbler
CHIS-1307,Wilson's Warbler
CHIS-1308,House Sparrow
CHIS-1309,Blue-Gray Gnatcatcher
CHIS-1310,Phainopepla
CHIS-1311,Ruby-Crowned Kinglet
CHIS-1312,Golden-Crowned Kinglet
CHIS-1313,Red-Breasted Nuthatch
CHIS-1314,White-Breasted Nuthatch
CHIS-1315,European Starling
CHIS-1316,Canyon Wren
CHIS-1317,Marsh Wren
CHIS-1318,Rock Wren
CHIS-1319,Bewick's Wren
CHIS-1320,House Wren
CHIS-1321,Winter Wren
CHIS-1322,Hermit Thrush
CHIS-1323,Swainson's Thrush
CHIS-1324,Townsend's Solitaire
CHIS-1325,Mountain Bluebird
CHIS-1326,Western Bluebird
CHIS-1327,American Robin
CHIS-1328,Varied Thrush
CHIS-1329,Olive-Sided Flycatcher
CHIS-1330,Western Wood-Pewee
CHIS-1331,Pacific-Slope Flycatcher
CHIS-1332,Hammond's Flycatcher
CHIS-1333,Least Flycatcher
CHIS-1334,Dusky Flycatcher
CHIS-1335,Willow Flycatcher
CHIS-1336,Gray Flycatcher
CHIS-1337,Ash-Throated Flycatcher
CHIS-1338,Vermillion Flycatcher
CHIS-1339,Black Phoebe
CHIS-1340,Eastern Phoebe
CHIS-1341,Say's Phoebe
CHIS-1342,Scissor-Tailed Flycatcher
CHIS-1343,Eastern Kingbird
CHIS-1344,Western Kingbird
CHIS-1345,Cassin's Kingbird
CHIS-1346,Bell's Vireo
CHIS-1347,Cassin's Vireo
CHIS-1348,Warbling Vireo
CHIS-1349,Hutton's Vireo
CHIS-1350,Red-Eyed Vireo
CHIS-1351,Philadelphia Vireo
CHIS-1352,Plumbeus Vireo
CHIS-1353,Gray Vireo
CHIS-1354,Great Egret
CHIS-1355,Great Blue Heron
CHIS-1356,Cattle Egret
CHIS-1357,Green Heron
CHIS-1358,Snowy Egret
CHIS-1359,Black-Crowned Night-Heron
CHIS-1360,American White Pelican
CHIS-1361,Brown Pelican
CHIS-1362,Red-Billed Tropicbird
CHIS-1363,Northern Flicker
CHIS-1364,Acorn Woodpecker
CHIS-1365,Lewis' Woodpecker
CHIS-1366,Nuttall's Woodpecker
CHIS-1367,Red-Naped Sapsucker
CHIS-1368,Red-Breasted Sapsucker
CHIS-1369,Yellow-Bellied Sapsucker
CHIS-1370,Clark's Grebe
CHIS-1371,Western Grebe
CHIS-1372,Horned Grebe
CHIS-1373,Eared Grebe
CHIS-1374,Pied-Billed Grebe
CHIS-1375,Short-Tailed Albatross
CHIS-1376,Laysan Albatross
CHIS-1377,Black-Footed Albatross
CHIS-1378,Ashy Storm-Petrel
CHIS-1379,Leach's Storm-Petrel
CHIS-1380,Black Storm-Petrel
CHIS-1381,Least Storm-Petrel
CHIS-1382,Northern Fulmar
CHIS-1383,Flesh-Footed Shearwater
CHIS-1384,Pink-Footed Shearwater
CHIS-1385,Sooty Shearwater
